LeadID,Age,Gender,Location,LeadSource,TimeSpent (minutes),PagesViewed,LeadStatus,EmailSent,DeviceType,ReferralSource,FormSubmissions,Downloads,CTR_ProductPage,ResponseTime (hours),FollowUpEmails,SocialMediaEngagement,PaymentHistory,Conversion,feedback
22,32,Male,Islamabad,Social Media,60,15,Hot,4,Desktop,Facebook,1,2,0.1,14,4,115,Good,1,It’s a reliable product.
415,30,Male,Karachi,Email,36,12,Hot,9,Tablet,ReferralSite,5,3,0.5,17,9,66,Good,1,A decent product with good value.
416,31,Male,Lahore,Organic,44,15,Hot,8,Tablet,ReferralSite,5,0,0.3,23,2,51,Good,1,A good choice for anyone considering it.
429,34,Male,Lahore,Email,28,14,Hot,9,Tablet,ReferralSite,2,0,0.5,9,9,62,Good,1,This is exactly what I was looking for.
546,31,Male,Islamabad,Referral,15,13,Cold,8,Mobile,Google,2,0,0.8,9,8,118,No Payment,1,I really liked the product.
620,37,Female,Islamabad,Organic,51,13,Hot,2,Desktop,Google,5,0,0.5,11,10,171,Good,1,The quality is impressive for the price.
646,33,Female,Islamabad,Organic,12,15,Hot,7,Mobile,Direct,4,3,0.6,3,6,82,No Payment,1,"It’s nice to have, though not life-changing."
697,39,Male,Lahore,Organic,54,11,Hot,1,Desktop,Google,0,3,0.2,1,3,176,No Payment,1,It’s a reliable product.
892,32,Female,Islamabad,Social Media,58,14,Cold,9,Desktop,Facebook,2,1,0.6,1,9,134,No Payment,1,It has improved my workflow significantly.
898,37,Male,Lahore,Social Media,34,12,Hot,5,Tablet,Facebook,2,3,0.7,14,6,116,No Payment,1,I really liked the product.
1353,40,Male,Karachi,Referral,23,13,Hot,8,Desktop,Twitter,2,0,0.2,14,6,128,Good,1,The product is amazing!
1446,44,Male,Islamabad,Email,54,13,Cold,8,Tablet,Google,5,0,0.3,21,5,115,No Payment,1,A good choice for anyone considering it.
1528,49,Male,Lahore,Organic,21,13,Cold,7,Mobile,Facebook,2,2,0.4,22,8,36,No Payment,1,"Happy with the purchase, though not exceptional."
1542,34,Male,Karachi,Email,32,14,Warm,10,Mobile,Google,5,2,0.4,17,8,102,No Payment,1,The product is amazing!
1554,29,Female,Karachi,Email,34,12,Hot,0,Desktop,Facebook,5,3,0.4,20,3,82,No Payment,1,Very satisfied with the service.
1584,37,Female,Islamabad,Social Media,23,13,Warm,8,Desktop,Direct,0,3,0.7,6,10,42,No Payment,1,It’s a reliable product.
1612,50,Female,Lahore,Email,50,14,Cold,6,Tablet,Direct,1,1,0.5,5,8,165,No Payment,1,It does the job as advertised.
1633,44,Female,Islamabad,Organic,30,15,Cold,8,Tablet,Twitter,2,0,0.3,5,9,193,No Payment,1,"It’s nice to have, though not life-changing."
1954,48,Male,Karachi,Referral,28,14,Cold,9,Mobile,Twitter,5,0,0.1,4,10,50,No Payment,1,The product works well for my needs.
